metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.ebs.volume_read_bytes,guage,,,,"Provides information on the read operations in a specified period of time. The Sum statistic reports the total number of bytes transferred during the period. The Average statistic reports the average size of each read operation during the period, except on volumes attached to a Nitro-based instance, where the average represents the average over the specified period. The SampleCount statistic reports the total number of read operations during the period, except on volumes attached to a Nitro-based instance, where the sample count represents the number of data points used in the statistical calculation. For Xen instances, data is reported only when there is read activity on the volume.",,ebs,
aws.ebs.volume_read_bytes.minimum,guage,,,,"Provides information on the read operations in a specified period of time. The Sum statistic reports the total number of bytes transferred during the period. The Average statistic reports the average size of each read operation during the period, except on volumes attached to a Nitro-based instance, where the average represents the average over the specified period. The SampleCount statistic reports the total number of read operations during the period, except on volumes attached to a Nitro-based instance, where the sample count represents the number of data points used in the statistical calculation. For Xen instances, data is reported only when there is read activity on the volume.",,ebs,
aws.ebs.volume_read_bytes.maximum,guage,,,,"Provides information on the read operations in a specified period of time. The Sum statistic reports the total number of bytes transferred during the period. The Average statistic reports the average size of each read operation during the period, except on volumes attached to a Nitro-based instance, where the average represents the average over the specified period. The SampleCount statistic reports the total number of read operations during the period, except on volumes attached to a Nitro-based instance, where the sample count represents the number of data points used in the statistical calculation. For Xen instances, data is reported only when there is read activity on the volume.",,ebs,
aws.ebs.volume_read_bytes.average,guage,,,,"Provides information on the read operations in a specified period of time. The Sum statistic reports the total number of bytes transferred during the period. The Average statistic reports the average size of each read operation during the period, except on volumes attached to a Nitro-based instance, where the average represents the average over the specified period. The SampleCount statistic reports the total number of read operations during the period, except on volumes attached to a Nitro-based instance, where the sample count represents the number of data points used in the statistical calculation. For Xen instances, data is reported only when there is read activity on the volume.",,ebs,
aws.ebs.volume_write_bytes,guage,,,,"Provides information on the write operations in a specified period of time. The Sum statistic reports the total number of bytes transferred during the period. The Average statistic reports the average size of each write operation during the period, except on volumes attached to a Nitro-based instance, where the average represents the average over the specified period. The SampleCount statistic reports the total number of write operations during the period, except on volumes attached to a Nitro-based instance, where the sample count represents the number of data points used in the statistical calculation. For Xen instances, data is reported only when there is write activity on the volume.",,ebs,
aws.ebs.volume_write_bytes.minimum,guage,,,,"Provides information on the write operations in a specified period of time. The Sum statistic reports the total number of bytes transferred during the period. The Average statistic reports the average size of each write operation during the period, except on volumes attached to a Nitro-based instance, where the average represents the average over the specified period. The SampleCount statistic reports the total number of write operations during the period, except on volumes attached to a Nitro-based instance, where the sample count represents the number of data points used in the statistical calculation. For Xen instances, data is reported only when there is write activity on the volume.",,ebs,
aws.ebs.volume_write_bytes.maximum,guage,,,,"Provides information on the write operations in a specified period of time. The Sum statistic reports the total number of bytes transferred during the period. The Average statistic reports the average size of each write operation during the period, except on volumes attached to a Nitro-based instance, where the average represents the average over the specified period. The SampleCount statistic reports the total number of write operations during the period, except on volumes attached to a Nitro-based instance, where the sample count represents the number of data points used in the statistical calculation. For Xen instances, data is reported only when there is write activity on the volume.",,ebs,
aws.ebs.volume_write_bytes.average,guage,,,,"Provides information on the write operations in a specified period of time. The Sum statistic reports the total number of bytes transferred during the period. The Average statistic reports the average size of each write operation during the period, except on volumes attached to a Nitro-based instance, where the average represents the average over the specified period. The SampleCount statistic reports the total number of write operations during the period, except on volumes attached to a Nitro-based instance, where the sample count represents the number of data points used in the statistical calculation. For Xen instances, data is reported only when there is write activity on the volume.",,ebs,
aws.ebs.volume_read_ops,count,,,,The total number of read operations in a specified period of time. Note: read operations are counted on completion.,,ebs,
aws.ebs.volume_read_ops.minimum,count,,,,The total number of read operations in a specified period of time. Note: read operations are counted on completion.,,ebs,
aws.ebs.volume_read_ops.maximum,count,,,,The total number of read operations in a specified period of time. Note: read operations are counted on completion.,,ebs,
aws.ebs.volume_read_ops.average,count,,,,The total number of read operations in a specified period of time. Note: read operations are counted on completion.,,ebs,
aws.ebs.volume_write_ops,count,,,,The total number of write operations in a specified period of time. Note: write operations are counted on completion.,,ebs,
aws.ebs.volume_write_ops.minimum,count,,,,The total number of write operations in a specified period of time. Note: write operations are counted on completion.,,ebs,
aws.ebs.volume_write_ops.maximum,count,,,,The total number of write operations in a specified period of time. Note: write operations are counted on completion.,,ebs,
aws.ebs.volume_write_ops.average,count,,,,The total number of write operations in a specified period of time. Note: write operations are counted on completion.,,ebs,
aws.ebs.volume_total_read_time,guage,,,,This metric is not supported with Multi-Attach enabled volumes.,,ebs,
