metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.ec2autoscaling.group_min_size,gauge,,,, The minimum size of the Auto Scaling group. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_max_size,gauge,,,, The maximum size of the Auto Scaling group. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_desired_capacity,gauge,,,, The number of instances that the Auto Scaling group attempts to maintain. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_in_service_instances,gauge,,,, The number of instances that are running as part of the Auto Scaling group. This metric does not include instances that are pending or terminating. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_pending_instances,gauge,,,, The number of instances that are pending. A pending instance is not yet in service. This metric does not include instances that are in service or terminating. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_standby_instances,gauge,,,, The number of instances that are in a Standby state. Instances in this state are still running but are not actively in service. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_terminating_instances,gauge,,,, The number of instances that are in the process of terminating. This metric does not include instances that are in service or pending. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_total_instances,gauge,,,," The total number of instances in the Auto Scaling group. This metric identifies the number of instances that are in service, pending, and terminating. Reporting criteria : Reported if metrics collection is enabled.",,AutoScaling,
aws.ec2autoscaling.group_in_service_capacity,gauge,,,, The number of capacity units that are running as part of the Auto Scaling group. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_pending_capacity,gauge,,,, The number of capacity units that are pending. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_standby_capacity,gauge,,,, The number of capacity units that are in a Standby state. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_terminating_capacity,gauge,,,, The number of capacity units that are in the process of terminating. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
aws.ec2autoscaling.group_total_capacity,gauge,,,, The total number of capacity units in the Auto Scaling group. Reporting criteria : Reported if metrics collection is enabled.,,AutoScaling,
