metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.kinesis.get_records_bytes,gauge,,,,"The number of bytes retrieved from the Kinesis stream, measured over the specified time period. Minimum, Maximum, and Average statistics represent the bytes in a single GetRecords operation for the stream in the specified time period.",,Kinesis,
aws.kinesis.get_records_iterator_age_milliseconds,gauge,,,,"The age of the last record in all GetRecords calls made against a Kinesis stream, measured over the specified time period. Age is the difference between the current time and when the last record of the GetRecords call was written to the stream. The Minimum and Maximum statistics can be used to track the progress of Kinesis consumer applications. A value of zero indicates that the records being read are completely caught up with the stream.",,Kinesis,
aws.kinesis.get_records_latency,gauge,,,,"The time taken per GetRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.get_records_latency.minimum,gauge,,,,"The time taken per GetRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.get_records_latency.maximum,gauge,,,,"The time taken per GetRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.get_records_latency.p50,gauge,,,,"The time taken per GetRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.get_records_latency.p90,gauge,,,,"The time taken per GetRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.get_records_latency.p95,gauge,,,,"The time taken per GetRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.get_records_latency.p99,gauge,,,,"The time taken per GetRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.get_records_latency.p99.99,gauge,,,,"The time taken per GetRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.get_records_records,count,,,,"The number of records retrieved from the shard, measured over the specified time period. Minimum, Maximum, and Average statistics represent the records in a single GetRecords operation for the stream in the specified time period.",,Kinesis,
aws.kinesis.get_records_success,count,,,,"The number of successful GetRecords operations per stream, measured over the specified time period.",,Kinesis,
aws.kinesis.incoming_bytes,gauge,,,,"The number of bytes successfully put to the Kinesis stream over the specified time period. This metric includes bytes from PutRecord and PutRecords operations. Minimum, Maximum, and Average statistics represent the bytes in a single put operation for the stream in the specified time period.",,Kinesis,
aws.kinesis.incoming_records,count,,,,"The number of records successfully put to the Kinesis stream over the specified time period. This metric includes record counts from PutRecord and PutRecords operations. Minimum, Maximum, and Average statistics represent the records in a single put operation for the stream in the specified time period.",,Kinesis,
aws.kinesis.put_record_bytes,gauge,,,,The number of bytes put to the Kinesis stream using the PutRecord operation over the specified time period.,,Kinesis,
aws.kinesis.put_record_latency,gauge,,,,"The time taken per PutRecord operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_record_latency.minimum,gauge,,,,"The time taken per PutRecord operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_record_latency.maximum,gauge,,,,"The time taken per PutRecord operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_record_latency.p50,gauge,,,,"The time taken per PutRecord operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_record_latency.p90,gauge,,,,"The time taken per PutRecord operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_record_latency.p95,gauge,,,,"The time taken per PutRecord operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_record_latency.p99,gauge,,,,"The time taken per PutRecord operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_record_latency.p99.99,gauge,,,,"The time taken per PutRecord operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_record_success,count,,,,"The number of successful PutRecord operations per Kinesis stream, measured over the specified time period. Average reflects the percentage of successful writes to a stream.",,Kinesis,
aws.kinesis.put_records_bytes,gauge,,,,The number of bytes put to the Kinesis stream using the PutRecords operation over the specified time period.,,Kinesis,
aws.kinesis.put_records_latency,gauge,,,,"The time taken per PutRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_latency.minimum,gauge,,,,"The time taken per PutRecords operation, measured over the specified time period.",,Kinesis,
