metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.rds.bin_log_disk_usage,count,,,,"The amount of disk space occupied by binary logs on the primary. Applies to MySQL
                                                   read
                                                   replicas.",,rds,
aws.rds.burst_balance,count,,,,The percent of General Purpose SSD (gp2) burst-bucket I/O credits available.,,rds,
aws.rds.cpu_utilization,count,,,,The percentage of CPU utilization.,,rds,
aws.rds.cpu_credit_usage,count,,,,"(T2 instances) The number of CPU credits spent by the instance for CPU utilization.
                                                   One CPU
                                                   credit equals one vCPU running at 100 percent utilization for one minute or an equivalent
                                                   combination of vCPUs, utilization, and time. For example, you might have one vCPU
                                                   running at
                                                   50 percent utilization for two minutes or two vCPUs running at 25 percent utilization
                                                   for two
                                                   minutes.
                                                
CPU credit metrics are available at a five-minute frequency only. If you specify a
                                                   period
                                                   greater than five minutes, use the Sum statistic instead of the
                                                   Average statistic.",,rds,
aws.rds.cpu_credit_balance,count,,,,"(T2 instances) The number of earned CPU credits that an instance has accrued since
                                                it was
                                                launched or started. For T2 Standard, the CPUCreditBalance also includes the number
                                                of launch credits that have been accrued.
                                                Credits are accrued in the credit balance after
                                                   they are earned, and removed from the credit balance when they are spent. The credit
                                                   balance
                                                   has a maximum limit, determined by the instance size. After the limit is reached,
                                                   any new
                                                   credits that are earned are discarded. For T2 Standard, launch credits don't count
                                                   towards the limit.
                                                
The credits in the CPUCreditBalance are available
                                                   for the instance to spend to burst beyond its baseline CPU utilization.
                                                
When an
                                                   instance is running, credits in the CPUCreditBalance don't expire. When the
                                                   instance stops, the CPUCreditBalance does not persist, and all accrued credits
                                                   are lost.
                                                
CPU credit metrics are available at a five-minute frequency
                                                   only.",,rds,
aws.rds.database_connections,count,,,,"The number of database connections in use.
The metric value might not include broken database connections that haven't been
                                                   cleaned up by your database yet. So, the number of database connections recorded by
                                                   your
                                                   database might be higher than the metric value.",,rds,
aws.rds.disk_queue_depth,count,,,,The number of outstanding I/Os (read/write requests) waiting to access the disk.,,rds,
aws.rds.ebs_byte_balance%,count,,,,"The percentage of throughput credits remaining in the burst bucket of your RDS database.
                                                   This metric is available for basic monitoring only. 
                                                
To find the instance sizes that support this metric, see the instance sizes with an
                                                   asterisk (*) in the EBS optimized by default
                                                   table in Amazon EC2 User Guide for Linux Instances. The Sum statistic is not
                                                   applicable to this metric.",,rds,
aws.rds.ebs_io_balance%,count,,,,"The percentage of I/O credits remaining in the burst bucket of your RDS database.
                                                   This
                                                   metric is available for basic monitoring only. 
                                                
To find the instance sizes that support this metric, see the instance sizes with an
                                                   asterisk (*) in the EBS optimized by default
                                                   table in Amazon EC2 User Guide for Linux Instances. The Sum statistic is not
                                                   applicable to this metric.
                                                
This metric is different from BurstBalance. To learn how to use this metric,
                                                   see Improving application performance and reducing costs with Amazon EBS-Optimized Instance
                                                         burst capability.",,rds,
aws.rds.failed_sql_server_agent_jobs_count,guage,,,,The number of failed Microsoft SQL Server Agent jobs during the last minute.,,rds,
aws.rds.freeable_memory,count,,,,"The amount of available random access memory.
For MariaDB, MySQL, Oracle, and PostgreSQL DB instances, this metric
                                                   reports the value of the MemAvailable field of
                                                   /proc/meminfo.",,rds,
aws.rds.free_storage_space,count,,,,The amount of available storage space.,,rds,
aws.rds.maximum_used_transaction_ids,count,,,,The maximum transaction IDs that have been used. Applies to PostgreSQL.,,rds,
aws.rds.network_receive_throughput,count,,,,"The incoming (receive) network traffic on the DB instance, including both customer
                                                   database
                                                   traffic and Amazon RDS traffic used for monitoring and replication.",,rds,
aws.rds.network_transmit_throughput,count,,,,"The outgoing (transmit) network traffic on the DB instance, including both customer
                                                   database traffic and Amazon RDS traffic used for monitoring and replication.",,rds,
aws.rds.oldest_replication_slot_lag,count,,,,"The lagging size of the replica lagging the most in terms of write-ahead log (WAL)
                                                   data
                                                   received. Applies to PostgreSQL.",,rds,
aws.rds.read_iops,guage,,,,The average number of disk read I/O operations per second.,,rds,
aws.rds.read_latency,count,,,,The average amount of time taken per disk I/O operation.,,rds,
aws.rds.read_throughput,count,,,,The average number of bytes read from disk per second.,,rds,
aws.rds.replica_lag,count,,,,"The amount of time a read replica DB instance lags behind the source DB instance.
                                                   Applies
                                                   to MySQL, MariaDB, Oracle, PostgreSQL, and SQL Server read replicas.",,rds,
aws.rds.replication_slot_disk_usage,count,,,,The disk space used by replication slot files. Applies to PostgreSQL.,,rds,
aws.rds.swap_usage,count,,,,"The amount of swap space used on the DB instance. This metric is not available for
                                                   SQL
                                                   Server.",,rds,
aws.rds.transaction_logs_disk_usage,count,,,,The disk space used by transaction logs. Applies to PostgreSQL.,,rds,
aws.rds.transaction_logs_generation,count,,,,The size of transaction logs generated per second. Applies to PostgreSQL.,,rds,
aws.rds.write_iops,guage,,,,The average number of disk write I/O operations per second.,,rds,
aws.rds.write_latency,count,,,,The average amount of time taken per disk I/O operation.,,rds,
aws.rds.write_throughput,count,,,,The average number of bytes written to disk per second.,,rds,
