metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.vpc_active_connection_count_min,count,,,,A value of zero indicates that there are no active connections through the NAT gateway.,,vpc,
aws.vpc_active_connection_count_max,count,,,,A value of zero indicates that there are no active connections through the NAT gateway.,,vpc,
aws.vpc_active_connection_count_avg,count,,,,A value of zero indicates that there are no active connections through the NAT gateway.,,vpc,
aws.vpc_bytes_in_from_destination_min,guage,,,,"If the value for BytesOutToSource is less than the value for BytesInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_bytes_in_from_destination_max,guage,,,,"If the value for BytesOutToSource is less than the value for BytesInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_bytes_in_from_destination_avg,guage,,,,"If the value for BytesOutToSource is less than the value for BytesInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_bytes_in_from_source_min,guage,,,,"If the value for BytesOutToDestination is less than the value for BytesInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_bytes_in_from_source_max,guage,,,,"If the value for BytesOutToDestination is less than the value for BytesInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_bytes_in_from_source_avg,guage,,,,"If the value for BytesOutToDestination is less than the value for BytesInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_bytes_out_to_destination_min,guage,,,,"A value greater than zero indicates that there is traffic going to the internet from clients that are behind the NAT gateway. If the value for BytesOutToDestination is less than the value for BytesInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_bytes_out_to_destination_max,guage,,,,"A value greater than zero indicates that there is traffic going to the internet from clients that are behind the NAT gateway. If the value for BytesOutToDestination is less than the value for BytesInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_bytes_out_to_destination_avg,guage,,,,"A value greater than zero indicates that there is traffic going to the internet from clients that are behind the NAT gateway. If the value for BytesOutToDestination is less than the value for BytesInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_bytes_out_to_source_min,guage,,,,"A value greater than zero indicates that there is traffic coming from the internet to clients that are behind the NAT gateway. If the value for BytesOutToSource is less than the value for BytesInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_bytes_out_to_source_max,guage,,,,"A value greater than zero indicates that there is traffic coming from the internet to clients that are behind the NAT gateway. If the value for BytesOutToSource is less than the value for BytesInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_bytes_out_to_source_avg,guage,,,,"A value greater than zero indicates that there is traffic coming from the internet to clients that are behind the NAT gateway. If the value for BytesOutToSource is less than the value for BytesInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_connection_attempt_count_min,count,,,,"If the value for ConnectionEstablishedCount is less than the value for ConnectionAttemptCount , this indicates that clients behind the NAT gateway attempted to establish new connections for which there was no response.",,vpc,
aws.vpc_connection_attempt_count_max,count,,,,"If the value for ConnectionEstablishedCount is less than the value for ConnectionAttemptCount , this indicates that clients behind the NAT gateway attempted to establish new connections for which there was no response.",,vpc,
aws.vpc_connection_attempt_count_avg,count,,,,"If the value for ConnectionEstablishedCount is less than the value for ConnectionAttemptCount , this indicates that clients behind the NAT gateway attempted to establish new connections for which there was no response.",,vpc,
aws.vpc_connection_established_count_min,count,,,,"If the value for ConnectionEstablishedCount is less than the value for ConnectionAttemptCount , this indicates that clients behind the NAT gateway attempted to establish new connections for which there was no response.",,vpc,
aws.vpc_connection_established_count_max,count,,,,"If the value for ConnectionEstablishedCount is less than the value for ConnectionAttemptCount , this indicates that clients behind the NAT gateway attempted to establish new connections for which there was no response.",,vpc,
aws.vpc_connection_established_count_avg,count,,,,"If the value for ConnectionEstablishedCount is less than the value for ConnectionAttemptCount , this indicates that clients behind the NAT gateway attempted to establish new connections for which there was no response.",,vpc,
aws.vpc_error_port_allocation_min,count,,,,A value greater than zero indicates that too many concurrent connections are open through the NAT gateway.,,vpc,
aws.vpc_error_port_allocation_max,count,,,,A value greater than zero indicates that too many concurrent connections are open through the NAT gateway.,,vpc,
