metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
CPUUtilization,
DiskReadOps,
DiskWriteOps,
DiskReadBytes,
DiskWriteBytes,
MetadataNoToken,
NetworkIn,
NetworkOut,
NetworkPacketsIn," Minimum, Maximum, Average"
NetworkPacketsOut," Minimum, Maximum, Average"
CPUCreditUsage,
CPUCreditBalance,
CPUSurplusCreditBalance,
CPUSurplusCreditsCharged,
EBSReadOps,
EBSWriteOps,
EBSReadBytes,
EBSWriteBytes,
EBSIOBalance%,
EBSByteBalance%,
StatusCheckFailed,
StatusCheckFailed_Instance,
StatusCheckFailed_System,
AutoScalingGroupName,
ImageId,
InstanceId,
InstanceType,
ResourceCount,
