Metric Name,Valid Statistics
aws.Kinesis.get_records_bytes,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.get_records_iterator_age,
aws.Kinesis.get_records_iterator_age_milliseconds,"Minimum
Maximum
Average
Samples"
aws.Kinesis.get_records_latency,"Minimum
Maximum
Average"
aws.Kinesis.get_records_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.get_records_success,"Average
Sum
Samples"
aws.Kinesis.incoming_bytes,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.incoming_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.put_record_bytes,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.put_record_latency,"Minimum
Maximum
Average"
aws.Kinesis.put_record_success,"Average
Sum
Samples"
aws.Kinesis.put_records_bytes,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.put_records_latency,"Minimum
Maximum
Average"
aws.Kinesis.put_records_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.put_records_success,"Average
Sum
Samples"
aws.Kinesis.put_records_total_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.put_records_successful_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.put_records_failed_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.put_records_throttled_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.read_provisioned_throughput_exceeded,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.subscribe_to_shard_rate_exceeded,
aws.Kinesis.subscribe_to_shard_success,
aws.Kinesis.subscribe_to_shard_event_bytes,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.subscribe_to_shard_event_millis_behind_latest,"Minimum
Maximum
Average
Samples"
aws.Kinesis.subscribe_to_shard_event_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.subscribe_to_shard_event_success,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.write_provisioned_throughput_exceeded,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.incoming_bytes,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.incoming_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.iterator_age_milliseconds,"Minimum
Maximum
Average
Samples"
aws.Kinesis.outgoing_bytes,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.outgoing_records,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.read_provisioned_throughput_exceeded,"Minimum
Maximum
Average
Sum
Samples"
aws.Kinesis.write_provisioned_throughput_exceeded,"Minimum
Maximum
Average
Sum
Samples"
